Command.moderation.desc,Command for bot admins,
Command.moderation.name,moderation,
Command.moderation.randomdelete.desc,Deletes a random url that you have posted,
Command.moderation.randomdelete.name,randomdelete,
Command.moderation.reports.desc,Report Review,
Command.moderation.reports.name,reports,
Command.moderation.review.desc,Image Review,
Command.moderation.review.name,review,
Command.multiwhoknows.desc,Like whoknows but for a lot of artists at the same time,
Command.multiwhoknows.name,multiwhoknows,
Command.music.clear.desc,Clears the queue,
Command.music.clear.name,clear,
Command.music.desc,Play and scrobble music,
Command.music.end.desc,Stops and clears the music player,
Command.music.end.name,end,
Command.music.join.desc,Makes the bot join an specified voice channel,
Command.music.join.name,join,
Command.music.jump.desc,Advances on the current song,
Command.music.jump.name,jump,
Command.music.loop.desc,Set if the music should be repeated,
Command.music.loop.name,loop,
Command.music.meta.desc,Changes the metadata of the current playing track for scrobbling purposes.,
Command.music.meta.name,meta,
Command.music.name,music,
Command.music.pause.desc,Pauses the current track,
Command.music.pause.name,pause,
Command.music.play.desc,play,
Command.music.play.name,play,
Command.music.playnext.desc,Skips the current song and starts playing the new one,
Command.music.playnext.name,playnext,
Command.music.playyoutubemusic.desc,Uses youtube music instead of youtube,
Command.music.playyoutubemusic.name,playyoutubemusic,
Command.music.queue.desc,Queued songs on a voice session,
Command.music.queue.name,queue,
Command.music.radio.desc,Plays music using random songs from the random pool,
Command.music.radio.name,radio,
Command.music.resume.desc,Resumes the current track,
Command.music.resume.name,resume,
Command.music.shuffle.desc,Shuffles the queue,
Command.music.shuffle.name,shuffle,
Command.music.sk.desc,Skips the current track,
Command.music.sk.name,sk,
Command.music.skc.desc,Skips the current chapter,
Command.music.skc.name,skc,
Command.music.skt.desc,Skip the current song and plays the one at position x,
Command.music.skt.name,skt,
Command.music.voice.desc,Your now playing song on voice,
Command.music.voice.name,voice,
Command.music.vol.desc,Set the volume of the music player.,
Command.music.vol.name,vol,
Command.np.desc,Returns your last or current playing song,
Command.np.name,np,
Command.npmode.add.desc,Adds only one np-modes,
Command.npmode.add.name,add,
Command.npmode.desc,Customize your np/fm commands with several extra fields,
Command.npmode.help.desc,Removes only one np-modes,
Command.npmode.help.name,help,
Command.npmode.list.desc,List the setted np-modes for an user,
Command.npmode.list.name,list,
Command.npmode.name,npmode,
Command.npmode.remove.desc,Removes only one np-modes,
Command.npmode.remove.name,remove,
Command.npmode.set.desc,Replaces all your np-modes with the ones provided,
Command.npmode.set.name,set,
Command.npspotify.desc,Returns a link to your current song via Spotify,
Command.npspotify.name,npspotify,
Command.obscurity.desc,Obscurity resume about an user,
Command.obscurity.name,obscurity,
Command.overview.desc,Several stats,
Command.overview.name,overview,
Command.pace.desc,Pace,
Command.pace.name,pace,
Command.playing.desc,Returns lists of all people that are playing music right now,
Command.playing.name,playing,
Command.plays.desc,Gets the amount of times an user has played an specific artist,
Command.plays.name,plays,
Command.popularity.desc,Songs ordered by popularity,
Command.popularity.name,popularity,
Command.profile.desc,Brief description of an user profile,
Command.profile.name,profile,
Command.random.desc,Commands about the random pool,
Command.random.details.desc,Details of a random url,
Command.random.details.name,details,
Command.random.mine.desc,"The top rated random urls by yourself, this server or the bot",
Command.random.mine.name,mine,
Command.random.name,random,
Command.random.obtain.desc,"Gets a random url that other users have added, or add one yourself",
